Platform,Congress,MemberICPSR,MemberName,MemberParty,MemberChamber,MemberState,MemberDistrict,n_messages,n_scored,mean_partisan_score,mean_partisan_extremity,p_Advertising,p_PositionTaking,p_CreditClaiming,p_NegativePartisan,p_Bipartisan,p_ConstituentService,p_CreditConstituent,p_CreditPolicy,mean_likes,mean_shares,mean_replies,mean_quotes,n_newsletters
Twitter,115,21101,"Reed, Tom",Republican,House,NY,29,1468,1433,0.178,0.589,0.2132,0.4319,0.0525,0.0334,0.0409,0.1907,0.0089,0.0402,14.6894,3.3304,12.1131,1.2003,
Twitter,115,21102,"Sewell, Terri",Democrat,House,AL,7,2097,2070,-0.41,0.705,0.1297,0.4788,0.0601,0.1826,0.02,0.1545,0.0033,0.0515,88.2098,37.4344,6.0453,2.134,
Twitter,115,21103,"Gosar, Paul",Republican,House,AZ,1,1569,1478,0.185,0.5925,0.1765,0.4041,0.0586,0.0943,0.007,0.0873,0.0006,0.0465,83.7425,34.0561,40.8642,12.8069,
Twitter,115,21105,"Schweikert, David",Other,House,AZ,5,301,275,0.3912,0.6956,0.2691,0.3056,0.0365,0.0266,0.0066,0.1561,0.0,0.0332,8.897,3.8405,10.3256,0.9834,
Twitter,115,21106,"Crawford, Eric",Republican,House,AR,1,1552,1422,0.1356,0.5678,0.1353,0.364,0.0322,0.0232,0.0032,0.1115,0.0026,0.0219,6.9336,2.3705,2.0264,0.3679,
Twitter,115,21108,"Womack, Steve",Republican,House,AR,3,1665,1591,0.4144,0.7072,0.2474,0.1664,0.0288,0.0114,0.0096,0.3808,0.0072,0.0192,10.0715,2.8619,3.6769,0.564,
Twitter,115,21109,"Denham, Jeff",Republican,House,CA,10,457,444,-0.1454,0.4273,0.0613,0.4311,0.1554,0.1269,0.0109,0.0963,0.0131,0.1379,5.4858,2.4617,5.2626,1.0766,
Twitter,115,21110,"Bass, Karen",Democrat,House,CA,33,1496,1474,-0.5412,0.7706,0.0789,0.5882,0.0468,0.3008,0.0053,0.0555,0.0013,0.0488,377.0254,139.9198,19.2821,8.7313,
Twitter,115,21111,"Tipton, Scott",Republican,House,CO,3,662,652,0.3609,0.6804,0.1903,0.4577,0.1752,0.0272,0.0151,0.1782,0.0091,0.1495,8.3701,2.9909,10.148,1.1571,
Twitter,115,21112,"GARDNER, Cory",Republican,House,CO,4,895,894,0.1719,0.586,0.2559,0.4994,0.1888,0.0112,0.0693,0.1978,0.019,0.1698,251.5777,82.3508,120.6056,19.1598,
Twitter,115,21116,"Webster, Daniel",Republican,House,FL,11,354,343,0.4047,0.7023,0.1497,0.3955,0.0989,0.0395,0.0113,0.1638,0.0113,0.0706,8.7797,2.7542,5.6469,0.7373,
Twitter,115,21118,"Wilson, Frederica",Democrat,House,FL,17,3846,3369,-0.4205,0.7103,0.0445,0.4563,0.0224,0.136,0.0034,0.0447,0.0005,0.0192,156.4691,55.9984,14.702,3.4379,
Twitter,115,21122,"Woodall, Rob",Republican,House,GA,7,280,274,0.3326,0.6663,0.1679,0.3786,0.0714,0.0143,0.025,0.1143,0.0,0.0571,5.6821,2.5964,4.8821,0.5929,
Twitter,115,21123,"Scott, Austin",Republican,House,GA,8,587,585,0.4025,0.7012,0.1891,0.3066,0.1005,0.0256,0.0102,0.2249,0.0051,0.0869,8.5605,3.5383,4.0767,0.862,
Twitter,115,21124,"Hanabusa, Colleen",Democrat,House,HI,1,1635,1584,-0.2683,0.6342,0.1144,0.4593,0.0349,0.2202,0.0379,0.1327,0.0061,0.0275,14.3242,6.3933,1.5676,0.4544,
Twitter,115,21125,"Labrador, Raul",Republican,House,ID,1,787,753,0.066,0.533,0.3367,0.3698,0.1309,0.0686,0.0064,0.1906,0.0038,0.1169,20.0877,7.3609,14.0597,2.1283,
Twitter,115,21128,"Kinzinger, Adam",Republican,House,IL,11,1928,1894,-0.0303,0.4849,0.1063,0.417,0.0659,0.0213,0.0187,0.1011,0.0036,0.0524,81.9761,25.2303,22.499,2.9149,
Twitter,115,21129,"Hultgren, Randy",Republican,House,IL,14,819,761,0.1079,0.554,0.1526,0.4249,0.105,0.0147,0.0317,0.1233,0.0049,0.0781,7.4737,3.2442,16.8999,1.3822,
Twitter,115,21131,"Rokita, Todd",Republican,House,IN,4,901,889,0.2258,0.6129,0.1964,0.5061,0.1143,0.0921,0.0033,0.1454,0.0044,0.1032,37.4828,10.0222,14.0155,1.7736,
Twitter,115,21132,"Bucshon, Larry",Republican,House,IN,8,757,712,0.3852,0.6926,0.2616,0.4174,0.0621,0.0594,0.0092,0.2919,0.0079,0.0476,8.9366,2.9366,6.1361,1.354,
Twitter,115,21133,"YOUNG, Todd",Republican,House,IN,9,1582,1561,0.2695,0.6348,0.3104,0.4343,0.1707,0.012,0.0329,0.2434,0.0088,0.1549,27.78,7.775,28.1226,3.091,
Twitter,115,21135,"Yoder, Kevin",Republican,House,KS,3,1,1,0.2933,0.6467,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Twitter,115,21137,"Richmond, Cedric",Democrat,House,LA,2,447,418,-0.3439,0.672,0.1275,0.396,0.0559,0.1611,0.0045,0.0917,0.0067,0.0447,33.5481,16.557,8.9172,2.1879,
Twitter,115,21139,"Harris, Andy",Republican,House,MD,1,448,439,0.3733,0.6866,0.3638,0.3504,0.0558,0.0357,0.0156,0.2857,0.0246,0.0335,12.442,4.7634,19.3259,2.6808,
Twitter,115,21140,"Keating, William",Democrat,House,MA,10,329,326,-0.3231,0.6616,0.0821,0.465,0.0365,0.234,0.0061,0.0729,0.0,0.0365,26.2067,10.1793,2.7933,0.7599,
Twitter,115,21142,"Huizenga, Bill",Republican,House,MI,2,625,592,0.1813,0.5907,0.0992,0.3056,0.0336,0.0848,0.0368,0.0912,0.0064,0.0224,9.6992,3.2368,7.192,0.6944,
Twitter,115,21143,"Amash, Justin",Republican,House,MI,3,2571,1855,-0.1195,0.4402,0.079,0.3609,0.0198,0.1027,0.0078,0.0891,0.0,0.0179,419.6492,147.9693,34.0432,15.6002,
Twitter,115,21148,"Palazzo, Steven",Republican,House,MS,4,891,864,0.4079,0.704,0.1526,0.2974,0.0673,0.0393,0.0034,0.2256,0.0123,0.0572,7.9663,2.0079,3.5802,0.3726,
